,,,,,,,,,,,,,,,,Benchmark  /  Model MLC  /  Scenario  /  Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Inference,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3d-unet-99,3d-unet-99.9,dlrm-v2-99,,dlrm-v2-99.9,,gptj-99,,gptj-99.9,,llama2-70b-99,,llama2-70b-99.9,,llama2-70b-interactive-99,,llama2-70b-interactive-99.9,,llama3.1-405b,,mixtral-8x7b,,resnet,,retinanet,,rgat,stable-diffusion-xl,
,,,,,,,,,,,,,,,,Offline,Offline,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Server,Offline,Offline,Server
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor (click + for details),# of  Processors ,Accelerator (click + for details),# of Accelerators,Availability,Accelerator (click + for details),Host Processor Core Count,Processor (click + for details),Sum of # of  Processors ,Division/Power,,Samples/s,Samples/s,Samples/s,Queries/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Tokens/s,Tokens/s,Samples/s,Queries/s,Samples/s,Queries/s,Samples/s,Samples/s,Queries/s
5.0-0014,Cisco,available,Cisco UCS X215c M8 with X440P PCIe node (2x H100NVL-PCIe-94GB),1,AMD EPYC 9554,2,NVIDIA H100-NVL-94GB,2,available,NVIDIA H100-NVL-94GB,56,AMD EPYC 9554,2,Closed ,# of Accelerators,2,,2,2,,,2,2,,,2,2,,,,,,,,,,,2,2,2,2,,,
,,,,,,,,,,,,,,,# of Nodes,1,,1,1,,,1,1,,,1,1,,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,10.79,,"101,768.00","98,585.80",,,"3,743.36","3,701.78",,,"3,879.95","3,337.80",,,,,,,,,,,"136,731.00","119,990.00","2,653.43","2,400.54",,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,,2,2,,,2,2,,,2,2,,,,,,,,,,,2,2,2,2,,,
5.0-0015,Dell,available,1-node-2S-GNR_86C,1,INTEL(R) XEON(R) 6787P,2,N/A,0,available,N/A,86,INTEL(R) XEON(R) 6787P,2,Closed ,# of Accelerators,,0,,,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,,,
,,,,,,,,,,,,,,,# of Nodes,,1,,,1,1,,,1,1,,,,,,,,,,,,,1,1,1,1,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,2.26,,,"12,397.80","11,788.90",,,316.05,168.69,,,,,,,,,,,,,"31,472.70","27,987.90",465.88,350.91,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,2,,,2,2,,,2,2,,,,,,,,,,,,,2,2,2,2,,,
5.0-0016,Dell,available,Dell PowerEdge R7725 (2x H100-NVL-94GB TensorRT),1,AMD EPYC 9755,2,NVIDIA H100-NVL-94GB,2,available,NVIDIA H100-NVL-94GB,256,AMD EPYC 9755,2,Closed ,# of Accelerators,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,10.84,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0-0017,Dell,available,Dell PowerEdge XE7745 (8x H200-NVL-141GB TensorRT),1,AMD EPYC 9965 192-Core Processor,2,NVIDIA H200-NVL-141GB,8,available,NVIDIA H200-NVL-141GB,192,AMD EPYC 9965 192-Core Processor,2,Closed ,# of Accelerators,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,,,,,,
,,,,,,,,,,,,,,,# of Nodes,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,Avg. Result at System Name,,,,,,,"16,900.10","17,975.80","16,900.10","17,975.80","31,149.90","28,848.40","31,149.90","28,848.40","31,334.80","16,134.40","31,334.80","16,134.40",,,,,,,,,,,
,,,,,,,,,,,,,,,Sum of # of  Processors ,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
5.0-0018,Dell,available,Dell PowerEdge XE7745 (8x L40S TensorRT),1,AMD EPYC 9965 192-Core Processor,2,NVIDIA L40S,8,available,NVIDIA L40S,384,AMD EPYC 9965 192-Core Processor,2,Closed ,# of Accelerators,8,8,,,,,8,8,8,8,8,8,8,8,,,,,,,,,8,8,8,8,,8,8
,,,,,,,,,,,,,,,# of Nodes,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,1,1
,,,,,,,,,,,,,,,Avg. Result at System Name,28.03,28.03,,,,,"6,946.68","6,213.34","6,946.68","6,213.34","3,481.53","3,201.13","3,481.53","3,201.13",,,,,,,,,"345,721.00","340,047.00","6,522.15","6,095.41",,6.22,5.95
,,,,,,,,,,,,,,,Sum of # of  Processors ,2,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,2,2,2,2,,2,2
